word	english
aluminium	aluminium
pigelus	cootie
krans	wreath
automat	kiosk
version	release
halvleder	semiconductor
nyse	sneeze
blidemaned	february
overnaturlig	supernatural
fuld	full
propel	propeller
subsidiaer	subsidiary
bureaukrat	bureaucrat
hunsvane	pen
kannada	kannada
elevator	lift
aron	aaron
formynder	custodian
braekjern	crowbar
foregaende	previous
cykelstyr	handlebar
kompas	compass
ulogisk	illegitimate
akademia	academia
praerie	prairie
intravenost	intravenously
jambe	iamb
aerodynamik	aerodynamics
hydrolog	hydrologist
infanteri	infantry
sare	wound
taekke	bark
slyngel	villain
kateter	catheter
kromatografi	chromatography
skytte	sagittarius
polervoks	wax
fyn	funen
spaette	woodpecker
saarland	saarland
tusindben	millipede
syd	south
monogram	monogram
georg	george
isabella	isabel
pen	pen
oregano	oregano
dakien	dacia
skalp	scalp
berore	touch
sekstal	six
angstrom	angstrom
kabbala	kabballah
idempotent	idempotent
teisme	theism
metrologi	metrology
athene	athena
hestehale	ponytail
maltid	meal
iransk	iranian
hynde	cushion
storsindet	magnanimous
laegmuskel	calf
nal	needle
kerub	cherub
fennikel	fennel
kaviar	caviar
myresluger	anteater
kalkerpapir	carbon
uvular	uvular
bankfilial	bank
kali	kali
bilist	motorist
despot	despot
bonsai	bonsai
baccarat	baccarat
chile	chile
flevoland	flevoland
mononukleose	mononucleosis
minsk	minsk
audiologi	audiology
torsk	cod
colombia	colombia
regnbue	rainbow
lignelse	simile
frisor	hairdresser
arnold	arnold
garver	tanner
samaritaner	samaritan
epentese	epenthesis
vandkoger	teakettle
skepticisme	skepticism
estragon	tarragon
ophav	parent
kondor	condor
georgia	georgia
caracalla	caracalla
slagskib	battleship
ligeglad	indifferent
mariehone	ladybird
irer	irishman
taoisme	taoism
sufisme	sufism
raffineret	refined
eukalyptus	eucalyptus
libyen	libya
lyske	groin
akvaedukt	aqueduct
fristelse	temptation
dromme	dream
halvtreds	fifty
participere	participate
synergi	synergy
nedad	down
brakvand	brackish
terbium	terbium
etikette	etiquette
trug	trough
blafre	fly
halvdel	half
bueskydning	archery
quechua	quechua
annullere	cancel
rumfarer	spaceman
haefte	staple
laktose	lactose
haggis	haggis
venligt	friendly
indgravere	engrave
mange	many
vaerdighed	dignity
gonade	gonad
kiev	kiev
tilskaere	cut
baobabtrae	baobab
superkraft	superpower
mil	mile
chisinau	chisinau
modul	period
uddateret	outdated
hog	hawk
mandelkerne	amygdala
interpreter	translator
sum	amount
enstonig	monotonous
bibliotek	library
praecision	accuracy
creme	cream
tokyo	tokyo
jackson	jackson
sigojner	rom
undskyld	sorry
tretten	thirteen
bredband	broadband
nulpunkt	zero
tillokkende	alluring
levedygtig	viable
rap	quack
kultegning	charcoal
fedtsyl	skinflint
vor	our
sorover	pirate
heltemodig	heroic
hegn	fence
ibiza	ibiza
vod	net
asfaltere	asphalt
opmaerksom	attentive
inuitisk	inuit
router	router
palau	palau
lonningsdag	payday
genstandsled	object
hippogrif	hippogriff
tynd	slim
oman	oman
abekat	monkey
maltesisk	maltese
laespen	lisp
platugle	charlatan
forsommelse	neglect
essens	essence
montstykke	piece
snakken	chat
montenhed	money
drengepige	tomboy
gran	spruce
mekaniker	mechanic
napoli	naples
drys	pinch
vabenarsenal	arsenal
krabbe	crab
beundre	admire
forsla	suggest
renaessance	renaissance
morkets	nightfall
heden	hence
storre	bigger
asiat	asian
indfore	feed
nedskrive	book
etrurien	etruria
pund	pound
bermuda	bermuda
rekreation	recreation
hook	hook
pyrenaeerne	pyrenees
baer	berry
invadere	invade
arme	army
talmod	patience
lindrende	soothing
magnetisme	magnetism
gummiged	loader
navarra	navarre
metallurgi	metallurgy
nittende	nineteenth
froaeder	frog
russofobi	russophobia
muskel	muscle
forsorge	provide
ruthenium	ruthenium
afslappet	casual
byrde	burden
insektaeder	insectivore
falbyde	hawk
forvitring	efflorescence
figentrae	fig
hykler	hypocrite
kaerlighed	love
ental	singular
vist	certain
georgetown	georgetown
folgesvend	follower
ungkarl	bachelor
encyklopaedi	encyclopedia
bille	beetle
anonym	anonymous
drivgods	flotsam
hindustani	hindustani
camouflere	camouflage
tordok	drydock
usa	usa
vanaere	contempt
ugift	unmarried
suppe	soup
honolulu	honolulu
oliver	oliver
paddel	paddle
genvalg	reelection
hedonisme	hedonism
ohm	uh
resterende	remaining
fiskeagtig	fishy
bevidne	record
rytterfane	banner
genitiv	genitive
hojtaler	loudspeaker
ankomme	arrive
sublim	sublime
gulbrun	tawny
aerkebisp	archbishop
kiromanti	chiromancy
sammen	together
orlov	leave
gudskelov	hallelujah
flercellet	multicellular
aegthed	authenticity
smyrna	smyrna
mobel	furniture
firenze	florence
muhammed	muhammad
utalmodighed	impatience
hinduisk	hindu
echo	echo
stavemade	spelling
ligbraending	cremation
sting	stitch
besiddelse	property
appelsintrae	orange
pilekogger	quiver
end	than
skraeppe	chatter
spisetid	dinnertime
gentaget	repeated
behandle	dress
cenote	cenote
dualis	dual
squash	courgette
ogenavn	nickname
lommeregner	calculator
fragment	fragment
kulhydrat	carbohydrate
syvtal	seven
knytnaeve	fist
tunesisk	tunisian
fordampning	evaporation
information	information
farao	pharaoh
elendighed	misery
faggraense	demarcation
tosse	mug
kartouche	cartouche
vimpel	streamer
gnu	gnu
petroleum	kerosene
ornitolog	ornithologist
oostende	ostend
klage	cry
betinget	conditional
skovsneppe	woodcock
vejlederen	instruction
ordklover	pettifogger
tekniker	technician
jade	jade
admittans	admittance
topmode	summit
gronlaender	greenlander
kommentar	comment
udgravning	dig
labrador	labrador
antenne	aerial
charmere	charm
noglering	keyring
loppetjans	sinecure
jordklode	globe
sevilla	seville
forkaste	explode
transplantat	transplant
psykose	psychosis
rural	rural
attener	eighteenth
arisk	aryan
odsel	spendthrift
spraenghoved	warhead
cyklist	cyclist
hanhest	stallion
dennelunde	thus
lokalisere	localize
baevren	judder
moraene	moraine
entomologi	entomology
florere	flourish
sportsudover	athlete
hjorneklap	wallflower
silke	silk
erfaren	veteran
koncentrat	essence
urovaekkende	anxious
indfatning	rim
forstuvning	sprain
lukian	lucian
melk	light
haevd	custom
kontrafej	portrait
gestalt	gestalt
tetraeder	tetrahedron
pyjamas	pajamas
mausoleum	mausoleum
finish	finish
fondue	fondue
montserrat	montserrat
sensuel	sultry
materiale	material
accelerere	accelerate
skorsten	chimney
militaer	military
smuglytte	eavesdrop
abigail	abigail
praia	praia
reptil	reptile
oksehoved	hogshead
lodden	hairy
uluru	uluru
frodig	voluptuous
udvortes	external
dodelighed	mortality
marius	marius
erik	eric
maria	mary
oxygenatom	oxygen
europium	europium
heltal	integer
demens	dementia
jaerv	wolverine
kvittering	receipt
diplomat	diplomat
selvlyd	vowel
pungdyr	marsupial
engobe	engobe
sagforer	lawyer
tankskib	tanker
januar	january
latent	latent
automatgear	automatic
bisamrotte	muskrat
underforsta	understand
albin	albin
spejl	mirror
tid	time
etnisk	ethnic
submarin	submarine
flerumaettet	polyunsaturated
udfladning	flare
snublen	stumble
vemod	melancholy
talsror	mouthpiece
overbringe	deliver
horfro	linseed
kiwi	kiwi
arkitekt	architect
forlose	deliver
tunnel	tunnel
smertelig	painful
palaegge	enjoin
naervaer	presence
navn	name
fundere	wonder
idyllisk	idyllic
observator	observer
uberegnelig	capricious
aflob	drain
jordnod	peanut
konflikt	conflict
baermispel	serviceberry
maelkesukker	lactose
traefning	combat
slup	sloop
antroposofi	anthroposophy
geomorfologi	geomorphology
kobsla	haggle
profeti	prophecy
vejr	weather
fermium	fermium
skamfere	disfigure
kashmir	kashmir
apopleksi	stroke
tartan	tartan
alder	age
snydepels	charlatan
plagiat	plagiarism
regnskab	accounting
jeremias	jeremiah
lipid	lipid
pral	boast
kvantitet	quantity
vaemmelse	disgust
glaskal	kohlrabi
visk	whisk
asmara	asmara
ofre	sacrifice
teoretiker	theorist
hormon	hormone
bedrager	fraud
stump	morsel
tja	well
timian	thyme
foranledige	occasion
mali	mali
dor	door
tilhovle	dress
skjoldholder	supporter
kvaeg	cattle
triumfere	triumph
overvagning	surveillance
alandsoerne	aland
fodskammel	footstool
hoven	uppity
diskos	discus
kano	canoe
malawi	malawi
bums	pimple
slovensk	slovene
aerbodighed	deference
rytme	rhythm
fedende	fattening
eskimoisk	eskimo
samvittighed	conscience
forsorg	welfare
udvikler	developer
signal	signal
uge	week
indisk	indian
deviere	deviate
nina	nina
pastinak	parsnip
fastsaette	set
data	data
irak	iraq
whist	whist
rase	rage
gennembrud	breakthrough
klorofyl	chlorophyll
ateofobi	atheophobia
paryk	wig
fromand	frogman
jordstykke	patch
krukke	pot
plante	plant
direktor	manager
gloseliste	glossary
kampvogn	tank
tatovering	tattoo
slaegtning	relation
pizza	pizza
gram	gram
skandinav	scandinavian
radsherre	councilman
gel	gel
misse	miss
dermed	therewith
knippe	sheaf
invitere	invite
imitation	imitation
prissaette	price
besvime	faint
vaering	varangian
graenseland	march
beklage	regret
udstoppe	stuff
vagabund	tramp
september	september
gift	married
smugkro	speakeasy
kalcium	calcium
kabinet	ministry
humpen	hobble
parorende	relative
trae	tree
faldlem	trapdoor
jodisk	jewish
landskab	landscape
sapfo	sappho
aragonien	aragon
skjald	skald
velmagtsdage	heyday
kulbrinte	hydrocarbon
klem	ajar
fobi	phobia
autokrati	autocracy
piskeris	whisk
akademi	academy
komintern	comintern
haemmer	inhibitor
feminisme	feminism
lommetyv	pickpocket
hunraev	vixen
irritabel	peckish
praeparation	preparation
fedme	obesity
svigte	fail
blodgore	soften
tyrker	turk
undulat	budgerigar
permanganat	permanganate
fingeraftryk	fingerprint
abdicering	abdication
